puuid,match_id,team,positions
zFfj8FEAVSMKAtyDBZ3sWpnyM6b59RWQzm_9oRxcpOwcfEynvhYDr0sOBroOmRrnNdH_BWj4lEwKhA,NA1_5462798334,0.0,"[(603, 611), (1657, 11252), (1738, 12020), (2688, 13281), (2701, 13294), (1684, 13060), (2756, 12587), (2202, 11839), (2000, 11917), (2593, 11761), (3964, 13845), (2312, 12396), (2747, 13067), (2786, 13770), (2814, 12567), (1665, 11185), (1048, 9669), (1580, 10693), (8219, 13391), (4503, 1025), (11780, 6653), (11893, 2197), (13273, 9835), (13474, 6158), (12008, 2310), (553, 1222), (7899, 8460), (5000, 9996), (3237, 7061), (9251, 1614), (4200, 13558), (3981, 13422)]"
K4s0scmQ7l81oI4PKORWFagzJeHSFXC-SOPGMUugFLerBC56mYxuxK_r-BWqr1ZiLKmVdvmLtWsUxg,NA1_5462798334,0.0,"[(662, 285), (3170, 7986), (5147, 5692), (9711, 5438), (2675, 4841), (6862, 4580), (11222, 4748), (3392, 8190), (7158, 4847), (2801, 6735), (2601, 8188), (5978, 8172), (8350, 6653), (10630, 3113), (6461, 4851), (4704, 9111), (1655, 10415), (3704, 6475), (12895, 2951), (2683, 4532), (12045, 7653), (9081, 2192), (2835, 7900), (13022, 5785), (12286, 2415), (3250, 8724), (7805, 8034), (3300, 7800), (1892, 4427), (7790, 3819), (3830, 4479), (2484, 1460)]"
ToJut8fpZkWglVvZKO7kYoquwJFgWRQzFcmDBhv2bGbcXosBe2SKeea2QmCJ32c1Lp8gip5nOEuAaw,NA1_5462798334,0.0,"[(362, 135), (7449, 7178), (7580, 7660), (6865, 7243), (7244, 7031), (394, 461), (6953, 6421), (7784, 8080), (6498, 6668), (3927, 4248), (6566, 6900), (6593, 7475), (8000, 6920), (6586, 6134), (7257, 7510), (12586, 2147), (9321, 3558), (12366, 1538), (2964, 1668), (10338, 1371), (11699, 7853), (5042, 9099), (13019, 7217), (1158, 12110), (11965, 3593), (8392, 1028), (8572, 7358), (7480, 1073), (13527, 2729), (5335, 13406), (3781, 865), (1084, 1529)]"
1SyDyNNtqZf-MzrRVflWmvvhBE9rSc3BwFI6u83gN14DDAGoTjCs0C4eCsQ9Y_KwutHK0p7TRfAFLA,NA1_5462798334,0.0,"[(130, 401), (9374, 3371), (11586, 1754), (12018, 2271), (10341, 1178), (3945, 840), (12645, 2738), (11089, 2018), (11103, 1508), (12143, 2415), (394, 461), (11743, 1827), (12644, 1640), (10577, 2678), (8453, 3473), (6912, 7165), (9515, 9578), (3612, 3122), (6484, 6786), (7294, 7580), (11737, 6036), (7232, 7265), (6947, 7225), (11974, 5520), (10821, 3568), (5310, 7184), (8176, 8098), (7248, 5196), (3770, 8276), (4670, 4411), (4181, 4124), (3410, 4006)]"
0_7uLp1hdGnem6_BPUe0OUI2Y89PWz63qasZLKu5haPUBF59q9vmAwiyjU0q0Zuu5ZR97X-9UCYkLw,NA1_5462798334,0.0,"[(298, 675), (11438, 1425), (11341, 1514), (11611, 4050), (10749, 1222), (3971, 2546), (10797, 4544), (11048, 1606), (11538, 1431), (13064, 2102), (394, 461), (1069, 1619), (9113, 6161), (10903, 1699), (7561, 7312), (4849, 5726), (1504, 10402), (6741, 6671), (13021, 1972), (9339, 2376), (11578, 8010), (6631, 7971), (6814, 6485), (12424, 5245), (10746, 4930), (640, 782), (4912, 9165), (4411, 11586), (1238, 4732), (8418, 4816), (8462, 1206), (581, 646)]"
IefQCPShuON8Bm2y4mvRmzXMFpjvaCuHGj3_X7WM4au170_J4yAkzIZXfgfWzH5HpNv47WUx-oLJxA,NA1_5462798334,1.0,"[(14103, 14195), (2709, 12569), (8703, 13548), (3341, 13135), (3582, 13404), (13519, 14282), (3921, 13198), (3135, 13351), (4791, 13993), (1838, 11975), (3924, 14056), (9982, 13959), (3091, 13066), (1567, 11355), (4591, 13148), (2944, 12057), (1238, 9554), (1368, 11736), (9923, 13429), (7890, 12304), (1340, 6926), (7207, 12284), (11245, 1904), (13532, 6082), (11674, 3109), (11225, 6785), (8424, 7170), (11328, 6888), (1504, 5760), (12095, 6842), (6293, 3305), (1541, 2301)]"
eZEKdw60wj_OcUQtFgEWeIxFJvOELZKNBamC-4xTUwkpsqjsN2MPvCxtu2ZgC0DaOAbJF1dfMfB57Q,NA1_5462798334,1.0,"[(14426, 14170), (11564, 6931), (8645, 9720), (2902, 12742), (12163, 6755), (7709, 9660), (11477, 6170), (10046, 4817), (5605, 10623), (6286, 12314), (13122, 6088), (6934, 5081), (7461, 7197), (10519, 3433), (10900, 8292), (14340, 14391), (928, 9708), (11419, 6140), (9966, 4703), (8377, 13468), (11953, 5836), (6478, 12214), (8030, 8481), (12375, 6688), (12065, 3229), (10090, 9391), (8679, 9830), (4811, 10326), (13109, 3742), (10243, 5129), (7420, 2627), (1944, 1463)]"
ELXb8HFTaALkDm6qg3rdIY_nKxt_srouTaSjtxxpHZ7JTo4WC8KheKD_5-Bgej5GCVT1wHjwJ1bOOg,NA1_5462798334,1.0,"[(14321, 14673), (7712, 7626), (7943, 8382), (7446, 7492), (7245, 7611), (6919, 7184), (7204, 7536), (6916, 7615), (7502, 7464), (7191, 7376), (7239, 7261), (9479, 8879), (8170, 7450), (10811, 3362), (8246, 8183), (7644, 7590), (10713, 1974), (11547, 8042), (13417, 4326), (12316, 3065), (13572, 8550), (14020, 14021), (7570, 11747), (10682, 6129), (11924, 3048), (6320, 10169), (9222, 9171), (2303, 12490), (13707, 5677), (5739, 5549), (4151, 13638), (1854, 1457)]"
w9IlioW9yBdU7Iy-K94veY46y2fmlutwZDESDshwmHqhhFfZr1WNGtjXTBmPUL0Xdwa-nl303dGlhg,NA1_5462798334,1.0,"[(14589, 14454), (12866, 3128), (12675, 2271), (13119, 2948), (14276, 13780), (13063, 2113), (13573, 3148), (11978, 2382), (12788, 2807), (13218, 4906), (14223, 13270), (13028, 2421), (12505, 2579), (10913, 3685), (12440, 2529), (9332, 6386), (7446, 10027), (9350, 7780), (10334, 4844), (11453, 11160), (11681, 8361), (8775, 8958), (7625, 7359), (12445, 5887), (11828, 3601), (9762, 10339), (7620, 7706), (7159, 7978), (5741, 5599), (5715, 5404), (4781, 4991), (1242, 1414)]"
bby-nCl7z2mkHtwn1n_ri7dsdHYCR9Y4rI39npfBR4ze1qlWlDWx3bWge21QbCurodxvaQ_D1asV5g,NA1_5462798334,1.0,"[(14055, 14493), (12997, 3390), (12882, 1949), (13402, 3232), (13939, 11591), (12662, 2826), (13119, 3654), (10616, 3113), (6128, 10836), (13145, 4354), (13471, 4321), (8270, 8015), (12316, 4393), (11199, 3542), (12551, 12782), (6906, 8869), (6187, 10296), (11885, 4766), (9519, 5312), (9471, 10105), (10953, 8635), (7615, 9661), (8013, 8139), (13344, 6958), (11562, 3308), (6257, 10159), (8945, 9826), (4416, 10791), (5682, 4948), (5489, 6038), (5854, 5051), (2025, 1447)]"
n_gnznXT9hPSISJPRFpHpauMDC4DKp6e3v05ACQPpFeTbiXkgqFohn6DZj73PNB-10SZfmpSKBs9xA,EUW1_7683543892,0.0,"[(603, 611), (2058, 11788), (2521, 13138), (787, 4570), (2891, 12929), (2363, 12364), (973, 10661), (3179, 13325), (2346, 12437), (861, 9674), (3602, 13472), (1174, 2161), (2159, 11959), (2566, 12893), (415, 568), (2542, 12460), (3250, 12693), (1287, 11203), (1446, 11033), (3146, 13238), (2176, 12178), (3798, 8765), (4432, 9586), (2309, 678), (10849, 6396), (10268, 5170), (5535, 13476), (6123, 6162), (7674, 11713), (2973, 7375), (6880, 4828), (953, 817), (13769, 10578), (13473, 12841)]"
