puuid,region,rank
csdiDnvCWPbBSofaFbCmUUlEgFPbZNI2ezFt_jU0PUFUYzW_IC_bvhV6dB9bwWQv_49rgnG17m0fIQ,eun1,CHALLENGER
ycuW0Yh79a76xg6Uiniab8GkqBDWPGirgVenegIj6BQbVg8ZWKz68N1eDO52BoGRxrSeXMp7_9zdfQ,eun1,CHALLENGER
L7sj_ZpjGRt2jmIBiz72dPggPQzZFbg2qGvvYBX0P6YrUvvNAWxLOv1GUjGj_A11g3efPr3iyL9bBw,eun1,CHALLENGER
MDsKsinPiwGR9H_6HjSoOz7QWkzl-zjubJPqWvB4bbaqKXc39s5iR2u1WytdwJxHDR7dUnEAeJYwbA,eun1,CHALLENGER
_vQA1U4tQJgURewV8knU8JlMJIgELV7XDsGTUh-PnkasMgCRa39_mZ6p-ulRJ1ggOEUgtoV1Q-EyIA,eun1,CHALLENGER
KTTf-F01YQCBMSUwWrYm5RQuQcF-e1KUG7usn2WlqQn7-15id2-rS2_tTH_nV-6Pv3KbQBHkLnUxSw,eun1,CHALLENGER
GJcK-c-gwLA9q4E5_mFISSm6x4jOaXPUrJvltFr-Xgfcdxd-MVganz4U9URymmvUMvFxpLerUpX4iQ,eun1,CHALLENGER
41kSpqfMEyjVdz_B_1d-ZDVcNS3taXEbRFE8OZ-Pe2pJ959bmBcE1DDoanBO3-5EpaRD_64dBu5mgA,eun1,CHALLENGER
HEk__SOchdRfXOKc84wjci-nHJhxv2pFzzh6bOZr5Tm0T5-6cexJPrq6iY-fOd2kNio22TjumEpeyw,eun1,CHALLENGER
ecMhAhGiVXrf5QAL051fue9ESyvWIdnOIK8_iO9OXHu02lbemFtof6kkO0i8L6PsS00nEk3F3Z4Zuw,eun1,CHALLENGER
p9eYC5Qfjyc6CYI2mCnYFYSiWjP6yQHxus8nDr0-mxCIgx8oOQgJLLBxUNj8Yh53QHgLgvMX_TVJpg,eun1,CHALLENGER
oNFn5B8Gt_H4fG2EkS9PcMrAEje_jeEnthEe81j-Ri6GsPmVImZqKl6_oYMi40FcmOZUZ6KAbyZyiw,eun1,CHALLENGER
O0EqLf5ogweWHL-Lt-XlqTrap5ElN9DC0egM71w8Nsyz-cAB_0SAly9dpwjd6xAYuyl4mFKRiQGitQ,eun1,CHALLENGER
WQ1nri7hvTXzf7io1CiyxWIyRxi3_SZ12BTsxPmzqYzL3vFPBJy1YuuWEjRJScClS3Q3Da33nlSjmw,eun1,CHALLENGER
iKW91t5jX5Tnjbq_5f7xtKP-Z0AqeBzvH8roTFkrWyUsaQ4f2__6GRkuxbWNxsvX1NWmrYK1jWuEpA,eun1,CHALLENGER
0io0hFhA3TmoTGOJediOgV-Kk4LYpUOD4BZqXMcpOVs4kPcJwR-Msl4PScRrLLi4Eauv9KVaWGCg-Q,eun1,CHALLENGER
6NhFeC3_eF1-5cRoKfqBjcShBx9bkGyd1gPW834ygVp9gIh-7LoG8hNeW5uSThsgQqmCRF2HjwuQKA,eun1,CHALLENGER
