puuid,match_id,role,champion
8EaESTAeeLUL3pofNAk_xysodsapy1sdWBxBXaWbI9cQM8aa8fpTzvFFE3QygwwUFE_xuKBefdYumw,EUW1_7700002925,TOP,Fiora
bDQEWNC94hbg62K0bvwTCiz_4lN2-o-b0zhXZBP5At-B81W2JCEekTytIXT_bruP7K2bN7-hQny8pA,EUW1_7700002925,JUNGLE,Viego
SIukNIKECwcH6NIiW36tvZDTytKEZI8IGKTnxkGp0AXhs4WzFzR9zgulMTo2pdNdKl_OS1B_Wcv6PQ,EUW1_7700002925,MIDDLE,Naafiri
6P6LBz622AO-pCli6f3r2D1tQgmBNTxu9ujT2oczdtmdxwomGOCLWqKqijwFOOVdSGcHjwW-S3MZmg,EUW1_7700002925,BOTTOM,Twitch
DhQyILv1buSXNFhGZgax_ORpvbocU5CUT8tHJXBF-gnZ4Y1z_UOeCwHHc_EeSfeMhgHx8EvX0eEdEg,EUW1_7700002925,UTILITY,Nunu
2MILdwgY9oVN8qUchvsVkxIKXH2KBYmR1xVawXF7ZA-6oJHv2-H-MKzNb2HnRoEsrFmB9LEplvZs_g,EUW1_7700002925,TOP,Ambessa
qSa9eJdR_HM1euIOroNPzCMSJp5zcNOVWhY5UoerVhYiEychJdJQr9SqVl4DfLBiJpPYbhnhzZl84w,EUW1_7700002925,JUNGLE,MonkeyKing
CG0d8CMnTTLCqIJZ-9Klr0DthiE9HThN9hhieKAhXJBPApTP2Cj4LbcPbLrvLGUK6EbYOzQ7DYk5nA,EUW1_7700002925,MIDDLE,Akali
h9Vf4AqL72TikVbov9cxlv3iA3sBAFpJJburT4mitg9h1A_3oif_4bGu4JGH24V1mA2O8uHZVn9AFw,EUW1_7700002925,BOTTOM,Caitlyn
dUpGCWACH1D-ed71pbKYFjtHj-J-AlgMG_Ski-Ok8vpd2-H_ZKFEEyVh-nd7gVNR_7hhmifGzP0Utw,EUW1_7700002925,UTILITY,Sylas
pDl6lKeJ5gFFFZCK9SFGN6Ak9hMWSHr1kbO7dYaQL8-XisXWM97yQAXaLn9aQXh39TQxopPMqvkP8Q,EUW1_7700676409,TOP,Singed
bylSG5iINNLh_DBa_gMqQO9dMAttkgkOof4_xScQkju9fGxw31IR6-qc-UNXnhQPBCQJCMiadV1kCA,EUW1_7700676409,JUNGLE,Viego
