puuid,region,rank
jKDUm-g-qKVbaEV2QdE7jkm_6eat7Tb6NPy-JBvy4avqfHDjjuayWhhL-vTeKFux-IKrF9tNXkNDzA,euw1,SILVER
P31GxuXREAHv6FLW0tGNfFmrkgagerja5eBJ_H5ETVUjWx5Q4mp8U9quBlvjL33DePEECNzMjCOjVw,euw1,SILVER
LrISjH1ubpDWVLQ2qUQNmbtDOdpbSUf2a4-R_dOSvJSc8VK1v-tEsI7my3ouCTIkfxHLIm_axOLO4w,euw1,SILVER
qChqbN5QH2SCQVN3OZXEr73oONXKQ1aSmEnVJPAXIV_rKTAmNhqqa2QOxRkRaNaBDHP9dbvzJM2nmA,euw1,SILVER
GjWBZWNV4Y-ingzAoyccZiptTwJICdeQSuCJFeAdFVCNN574z5tlPSjAAKsPPfX8STNBGriZ2EPGDw,euw1,SILVER
reHuj7OsYd_Pw6HjWzejp8tPLKDvUrt3eCx8BgQ_WdxcDI_773bOoJ8S8jaWh9MPWCsapjpqyXNqKw,euw1,SILVER
sqyqkejyFvgkMet1o0ZkOK1kXI9c5yWygHnsOuEBydbAW7cMyoHrUcw3ACNG9Tol3nLZxijk2KOvxA,euw1,SILVER
irgOcY1ky66t9r86Y_fJ-IyKK0HRqBhflTeKZNzGaNB4jjHekBkmL0-aHmlXqAkDqRhvc6D4nfRHtw,euw1,SILVER
MOvxbxLqls878X2dIUy3tmVS6ha9vcBAKutOpLcemQzmTyPessklLAqiiP-CAp_EuhD4hGrMM-wWyA,euw1,SILVER
W9lF7PreiXzuZpAO8XxIDNhhy56z55C8FDhUr-7d_4L_KOl4zfB0GJ5pQPEBRZ1czVe6NWjl6wdafQ,euw1,SILVER
mRhuCvuzEvD6XFbU5yYytDtWhfmcpaXQ1RCs_g7OY92Mm94H3pQYJQwdiBd-2WP1F5exPZZLhPH4HA,euw1,SILVER
ngGu6KG8cx0nomiXyKTNvetqCnbuSjlIcwGTgzBM4ePwzXFhAX3WzExlhZe9A36E6HDriWf-xFxc1Q,euw1,SILVER
jA5NGsY4afOW5kfU3TQ9JQKIu7L5xmiL9TZ1wQJHCw1KB8JeAeOzz3Bg5kuXbsNGCQFOR75AzY6nWg,euw1,SILVER
BBxhjpFUCGVOJQUf-0qYe6fY0brJ5KmS21r6KYl-EMhF8dhcBQXUazcB0RLKrnej4dh-dFxbcrVQpA,euw1,SILVER
p_wkuDJdN0a5ksaMLQuB-wG6wLaXaEhcFhD7gVwwgQFMoKUKVOdeLd6HcqucZM2y80ta8lsiMNoGhw,euw1,SILVER
LyzCoEcRhTMOuucDkr6QCxDPIjnBnqTy7uLyZtWQoiOUDTmSKzJXLcjhbFlKlMZpOakKTb0C17297Q,euw1,SILVER
vsKd9RUoINiylavzreqI9gWz0Hleg7Kn3IYm-XlDK-Jq1L1IH3v0B92fgegjrf3g2k2xEgwdnM_ydg,euw1,SILVER
Wl7kiYeSLe1bTLjQfAvJj9YJIpJ3E343286B4g8AwLA5VO23rOLw6elbAeUaA774Rsy1dAABT2sFGQ,euw1,SILVER
J3LzMkjh5KzlwGqvj2P619-Si83GJElT-eckvwG-htH0555LCQJi4MYV9JGOq4ik8JUQc3OZNUeVSg,euw1,SILVER
hWf3DZ6R-g08oX1qgSQR9yKr_QH0H52pdTDz-KHO6sM4RNnSc1gbWSn-oWYJwiaj5Q5VZu9x4JDL1w,euw1,SILVER
_p-YLCbXUTQ60ZEWa3RccqACCR3QWEv1ViMNPoFKUg-kNSBHXAXhURIuzhA2sd4a_27I--V3knzKqA,euw1,SILVER
s6em7HpSddPksP4IlSNJltiZR9WAvdm7j38B6hfOBXEvKs-e_m-GNtk1lnMhvkGGphN5j5dF1oZM9Q,euw1,SILVER
pBTiJwGy-XMxRLtq9_Xnuvo-r32VQ6MkAz3LHzt9fiq0VDMSVmBrXxm9r-znj7fXVReUxjNu9bB1Cg,euw1,SILVER
Wm6-zGYSBQly5y_IPu9KimydfVZhUA4GvV1B0AQyLKGXK5S9OL3R0Yy_eSihgo5NcJGWQH5x7VHO5g,euw1,SILVER
P3txFuW1-h0th2FDyZ_3V9n3p1HTL1jIFppSVHb4dAWeWS1nukkx08c2VWrdo5fHI3EKq_Qai6lyDA,euw1,SILVER
1G0hVvFeO8yVZnQjmKMW5Ti_8L894T6sLxInXFU-7vQ4Kra4gp8cqk4ZKL9Ds6DpJLLmbmiaVpwc8w,euw1,SILVER
JzzQkGzBP2llqaeRR64r_n6Xs5bJPmmCUeLYfYWKzmEM5eBqG-JZ7SqSrSUVacGLWcxrf3QsZ7m5BQ,euw1,SILVER
xoH-vYdlic1KtEQGHi6a2GtiHwxWsa9uufKmC5wlMT0IaMTZfIhFDLf2FstfycuIjuTWsJCyrtm3xg,euw1,SILVER
l-vEJXwrrmMeJazCebN2-V3hbwzcejyvY4qhUItPRxiB-nVwuCvfHQC17HIp31vWWICGeWlkBKRD5w,euw1,SILVER
I_Eeqk5_vxz7PlRUnLPDBFspgvEfv7FtiU7u65bChjwCnytAHW_KjA7VoTI0ClyV6A0_oA4IhRAXKw,euw1,SILVER
kGP3VoBDBK94L4tJ30R97I7ZdflKQU3wxwiBhGfIWAZkbw5OUepBtwVRkZMDlqb70v4LbF_-2gQy0g,euw1,SILVER
QEaElSd9IhqjWm1d4KGOMvp1fpj40S8px1dF1dYvigU-CIc6ldfxjgqrYCJnWU2zyuPfdAVW3-4njw,euw1,SILVER
KaXG16cNgBoYuEkCVCVJUGs-FN6s6MMJvLV0HO2tDvIEIsYmb5HT_ifsNXC5ZGdZQEk1CFfChs9T-A,euw1,SILVER
YY_6qtatZApH70ic2CaFH4sRFC3xcvlz_rfh32WRL1LkT4mwAlkDeeQ8fEFTwCszCGEJk43u731-UQ,euw1,SILVER
98vm9uhKkB8GkT-qDslvXvcPWo0w_909q_gnsiWAMB8OgEy9zpxlfuy9e2ftLJc5-kr9LdBYYWic6Q,euw1,SILVER
kjFebpOMKAOmoNhCkMh4oSNPw29e5Tzz9-gE91V0AgsQ9sY5sAxEsG_uQRLWSG2mgo8zaMR5v87YbQ,euw1,SILVER
uLfB1Pgixz9RZ6adj0HNImVo9lIrdpJ23AP8xwG9nPhTm5vaIslaIDUIcdBaQAv4MnOO0qPB5zQKow,euw1,SILVER
k7HJD4SAd2KlqxttRitrSJX5A4ZX7YglMPwHgxPRF99Ldm_4vlzFSY7vcqxI8i3lC3FwblIENB-L9g,euw1,SILVER
